1494650748.29662085,$GPRMC,044505.00,A,3110.67845,N,12123.89898,E,0.036,,130517,,,A*74

1494650749.29687142,$GPRMC,044506.00,A,3110.67838,N,12123.89848,E,0.006,,130517,,,A*73

1494650750.29801679,$GPRMC,044507.00,A,3110.67835,N,12123.89812,E,0.011,,130517,,,A*76

1494650751.29799294,$GPRMC,044508.00,A,3110.67833,N,12123.89791,E,0.050,,130517,,,A*7E

1494650752.29608226,$GPRMC,044509.00,A,3110.67832,N,12123.89772,E,0.098,,130517,,,A*77

1494650753.29774117,$GPRMC,044510.00,A,3110.67832,N,12123.89760,E,0.014,,130517,,,A*78

1494650754.29663992,$GPRMC,044511.00,A,3110.67832,N,12123.89747,E,0.055,,130517,,,A*79

1494650755.30206251,$GPRMC,044512.00,A,3110.67827,N,12123.89738,E,0.007,,130517,,,A*71

1494650756.29562354,$GPRMC,044513.00,A,3110.67820,N,12123.89731,E,0.094,,130517,,,A*74

1494650757.29804277,$GPRMC,044514.00,A,3110.67813,N,12123.89727,E,0.021,,130517,,,A*7A

1494650758.29879951,$GPRMC,044515.00,A,3110.67807,N,12123.89722,E,0.042,,130517,,,A*7E

1494650759.30168653,$GPRMC,044516.00,A,3110.67802,N,12123.89714,E,0.011,,130517,,,A*7B

1494650760.29641867,$GPRMC,044517.00,A,3110.67798,N,12123.89707,E,0.044,,130517,,,A*74

1494650761.29672742,$GPRMC,044518.00,A,3110.67793,N,12123.89695,E,0.020,,130517,,,A*78

1494650762.29724646,$GPRMC,044519.00,A,3110.67793,N,12123.89682,E,0.016,,130517,,,A*7A

1494650763.29730964,$GPRMC,044520.00,A,3110.67792,N,12123.89673,E,0.031,,130517,,,A*7A

1494650764.29695725,$GPRMC,044521.00,A,3110.67791,N,12123.89664,E,0.062,,130517,,,A*78

1494650765.29651189,$GPRMC,044522.00,A,3110.67796,N,12123.89653,E,0.135,,130517,,,A*7B

1494650766.29627681,$GPRMC,044523.00,A,3110.67799,N,12123.89646,E,0.052,,130517,,,A*71

1494650767.29777002,$GPRMC,044524.00,A,3110.67798,N,12123.89641,E,0.395,318.67,130517,,,A*6D

1494650768.29753017,$GPRMC,044525.00,A,3110.67792,N,12123.89639,E,0.010,,130517,,,A*72

1494650769.29382229,$GPRMC,044526.00,A,3110.67780,N,12123.89635,E,0.219,,130517,,,A*75

1494650770.2965939,$GPRMC,044527.00,A,3110.67834,N,12123.89641,E,0.198,,130517,,,A*7D

1494650771.29623294,$GPRMC,044528.00,A,3110.67870,N,12123.89629,E,0.601,,130517,,,A*7B

1494650773.72344851,$GPRMC,044529.00,A,3110.67939,N,12123.89619,E,2.204,321.07,130517,,,A*6F

1494650773.72349524,$GPRMC,044530.00,A,3110.68047,N,12123.89627,E,4.567,332.55,130517,,,A*64

1494650774.29542017,$GPRMC,044531.00,A,3110.68252,N,12123.89600,E,8.252,340.16,130517,,,A*69

1494650775.29279017,$GPRMC,044532.00,A,3110.68455,N,12123.89524,E,7.332,339.65,130517,,,A*6C

1494650776.29371214,$GPRMC,044533.00,A,3110.68715,N,12123.89473,E,11.020,341.72,130517,,,A*57

1494650777.29320884,$GPRMC,044534.00,A,3110.69029,N,12123.89410,E,12.436,342.73,130517,,,A*5E

1494650778.29844618,$GPRMC,044535.00,A,3110.69415,N,12123.89316,E,13.062,344.73,130517,,,A*57

1494650779.29714942,$GPRMC,044536.00,A,3110.69745,N,12123.89251,E,10.725,345.62,130517,,,A*56

1494650780.29570842,$GPRMC,044537.00,A,3110.70003,N,12123.89110,E,10.791,339.92,130517,,,A*57

1494650781.2961998,$GPRMC,044538.00,A,3110.70230,N,12123.89056,E,10.756,340.76,130517,,,A*56

1494650782.29347563,$GPRMC,044539.00,A,3110.70552,N,12123.88978,E,12.254,343.05,130517,,,A*52

1494650783.29628062,$GPRMC,044540.00,A,3110.70883,N,12123.88882,E,11.925,343.56,130517,,,A*51

1494650784.29635787,$GPRMC,044541.00,A,3110.71181,N,12123.88787,E,10.981,343.60,130517,,,A*5A

1494650785.29654884,$GPRMC,044542.00,A,3110.71479,N,12123.88689,E,10.651,344.44,130517,,,A*57

1494650786.29625654,$GPRMC,044543.00,A,3110.71802,N,12123.88654,E,9.088,343.50,130517,,,A*6E

1494650787.30099869,$GPRMC,044544.00,A,3110.72075,N,12123.88600,E,7.622,340.28,130517,,,A*67

1494650788.30019069,$GPRMC,044545.00,A,3110.72290,N,12123.88550,E,6.331,336.96,130517,,,A*6B

1494650789.29745412,$GPRMC,044546.00,A,3110.72415,N,12123.88544,E,4.962,334.20,130517,,,A*67

1494650790.29651856,$GPRMC,044547.00,A,3110.72500,N,12123.88380,E,5.201,331.29,130517,,,A*6E

1494650791.29759574,$GPRMC,044548.00,A,3110.72553,N,12123.88175,E,5.859,327.52,130517,,,A*63

1494650792.29644895,$GPRMC,044549.00,A,3110.72672,N,12123.87970,E,5.977,325.27,130517,,,A*6D

1494650793.29470491,$GPRMC,044550.00,A,3110.72697,N,12123.87699,E,8.637,312.76,130517,,,A*60

1494650794.29627252,$GPRMC,044551.00,A,3110.72655,N,12123.87407,E,7.915,304.27,130517,,,A*69

1494650795.29771757,$GPRMC,044552.00,A,3110.72570,N,12123.87147,E,7.970,295.67,130517,,,A*61

1494650796.29682064,$GPRMC,044553.00,A,3110.72496,N,12123.86872,E,8.606,288.00,130517,,,A*6B

